;Well;Fluor;Target;Content;Sample;Cq;SQ;
;A01;FAM;Hprt1;Unkn;7d WT 1µM control peptide + 100ng/ml polyIC Lyovec;29,6585535;;
;A02;FAM;Pum1;Unkn;7d WT 1µM control peptide + 100ng/ml polyIC Lyovec;32,48571861;;
;A03;FAM;Tbp;Unkn;7d WT 1µM control peptide + 100ng/ml polyIC Lyovec;32,16789405;;
;A04;FAM;Col3a1;Unkn;7d WT 1µM control peptide + 100ng/ml polyIC Lyovec;30,09070997;;
;A05;FAM;Col1a1;Unkn;7d WT 1µM control peptide + 100ng/ml polyIC Lyovec;31,85388933;;
;A06;FAM;Tlr3;Unkn;7d WT 1µM control peptide + 100ng/ml polyIC Lyovec;30,03104425;;
;A07;FAM;Ddx58/Rig-I;Unkn;7d WT 1µM control peptide + 100ng/ml polyIC Lyovec;30,18576066;;
;A08;FAM;Ifih-1/Mda5;Unkn;7d WT 1µM control peptide + 100ng/ml polyIC Lyovec;29,90151242;;
;A09;FAM;Bmp4;Unkn;7d WT 1µM control peptide + 100ng/ml polyIC Lyovec;32,12415722;;
;A10;FAM;Il1-�;Unkn;7d WT 1µM control peptide + 100ng/ml polyIC Lyovec;;;
;A11;FAM;Hprt1;NTC;NT;;;
;A12;FAM;Bmp4;NTC;NT;;;
;B01;FAM;Hprt1;Unkn;7d WT 1µM control peptide + 100ng/ml polyIC Lyovec;29,61158859;;
;B02;FAM;Pum1;Unkn;7d WT 1µM control peptide + 100ng/ml polyIC Lyovec;32,65381731;;
;B03;FAM;Tbp;Unkn;7d WT 1µM control peptide + 100ng/ml polyIC Lyovec;32,26748903;;
;B04;FAM;Col3a1;Unkn;7d WT 1µM control peptide + 100ng/ml polyIC Lyovec;30,03417608;;
;B05;FAM;Col1a1;Unkn;7d WT 1µM control peptide + 100ng/ml polyIC Lyovec;32,27393641;;
;B06;FAM;Tlr3;Unkn;7d WT 1µM control peptide + 100ng/ml polyIC Lyovec;29,98287755;;
;B07;FAM;Ddx58/Rig-I;Unkn;7d WT 1µM control peptide + 100ng/ml polyIC Lyovec;30,18912186;;
;B08;FAM;Ifih-1/Mda5;Unkn;7d WT 1µM control peptide + 100ng/ml polyIC Lyovec;29,75049214;;
;B09;FAM;Bmp4;Unkn;7d WT 1µM control peptide + 100ng/ml polyIC Lyovec;31,92167588;;
;B10;FAM;Il1-�;Unkn;7d WT 1µM control peptide + 100ng/ml polyIC Lyovec;;;
;B11;FAM;Pum1;NTC;NT;;;
;B12;FAM;Il1-�;NTC;NT;;;
;C01;FAM;Hprt1;Unkn;7d WT 1µM control peptide + 100ng/ml polyIC Lyovec;29,99615093;;
;C02;FAM;Pum1;Unkn;7d WT 1µM control peptide + 100ng/ml polyIC Lyovec;33,19202888;;
;C03;FAM;Tbp;Unkn;7d WT 1µM control peptide + 100ng/ml polyIC Lyovec;32,97503051;;
