;Well;Fluor;Target;Content;Sample;Cq;SQ;;;;;;;;
;A01;FAM;Hprt1;Unkn;7d JAX 1µM Pepinh-Trif + 100ng/ml poly IC Lyovec;28,61184135;;;;;;;;;
;A02;FAM;Pum1;Unkn;7d JAX 1µM Pepinh-Trif + 100ng/ml poly IC Lyovec;29,12172219;;;;;;;;;
;A03;FAM;Tbp;Unkn;7d JAX 1µM Pepinh-Trif + 100ng/ml poly IC Lyovec;30,86627379;;;;;;;;;
;A04;FAM;Col3a1;Unkn;7d JAX 1µM Pepinh-Trif + 100ng/ml poly IC Lyovec;25,84596242;;;;;;;;;
;A05;FAM;Col1a1;Unkn;7d JAX 1µM Pepinh-Trif + 100ng/ml poly IC Lyovec;25,31809937;;;;;;;;;
;A06;FAM;Tlr3;Unkn;7d JAX 1µM Pepinh-Trif + 100ng/ml poly IC Lyovec;;;;;;;;;;
;A07;FAM;Ddx58/Rig-I;Unkn;7d JAX 1µM Pepinh-Trif + 100ng/ml poly IC Lyovec;26,97586674;;;;;;;;;
;A08;FAM;Ifih-1/Mda5;Unkn;7d JAX 1µM Pepinh-Trif + 100ng/ml poly IC Lyovec;27,04833346;;;;;;;;;
;A09;FAM;Bmp4;Unkn;7d JAX 1µM Pepinh-Trif + 100ng/ml poly IC Lyovec;28,29658578;;;;;;;;;
;A10;FAM;Il1-�;Unkn;7d JAX 1µM Pepinh-Trif + 100ng/ml poly IC Lyovec;;;;;;;;;;
;A11;FAM;Hprt1;Unkn;NT;;;;;;;;;;
;A12;FAM;Bmp4;Unkn;NT;;;;;;;;;;
;B01;FAM;Hprt1;Unkn;7d JAX 1µM Pepinh-Trif + 100ng/ml poly IC Lyovec;28,60575271;;;;;;;;;
;B02;FAM;Pum1;Unkn;7d JAX 1µM Pepinh-Trif + 100ng/ml poly IC Lyovec;29,06003598;;;;;;;;;
;B03;FAM;Tbp;Unkn;7d JAX 1µM Pepinh-Trif + 100ng/ml poly IC Lyovec;30,95535774;;;;;;;;;
;B04;FAM;Col3a1;Unkn;7d JAX 1µM Pepinh-Trif + 100ng/ml poly IC Lyovec;25,87371427;;;;;;;;;
;B05;FAM;Col1a1;Unkn;7d JAX 1µM Pepinh-Trif + 100ng/ml poly IC Lyovec;25,29971368;;;;;;;;;
;B06;FAM;Tlr3;Unkn;7d JAX 1µM Pepinh-Trif + 100ng/ml poly IC Lyovec;;;;;;;;;;
;B07;FAM;Ddx58/Rig-I;Unkn;7d JAX 1µM Pepinh-Trif + 100ng/ml poly IC Lyovec;26,82583939;;;;;;;;;
;B08;FAM;Ifih-1/Mda5;Unkn;7d JAX 1µM Pepinh-Trif + 100ng/ml poly IC Lyovec;27,0089827;;;;;;;;;
;B09;FAM;Bmp4;Unkn;7d JAX 1µM Pepinh-Trif + 100ng/ml poly IC Lyovec;28,18287485;;;;;;;;;
;B10;FAM;Il1-�;Unkn;7d JAX 1µM Pepinh-Trif + 100ng/ml poly IC Lyovec;;;;;;;;;;
;B11;FAM;Pum1;Unkn;NT;;;;;;;;;;
;B12;FAM;Il1-�;Unkn;NT;;;;;;;;;;
;C01;FAM;Hprt1;Unkn;7d JAX 1µM control peptide + 100ng/ml polyIC Lyovec;28,60459897;;;;;;;;;
;C02;FAM;Pum1;Unkn;7d JAX 1µM control peptide + 100ng/ml polyIC Lyovec;29,20081412;;;;;;;;;
;C03;FAM;Tbp;Unkn;7d JAX 1µM control peptide + 100ng/ml polyIC Lyovec;30,85064654;;;;;;;;;
;C04;FAM;Col3a1;Unkn;7d JAX 1µM control peptide + 100ng/ml polyIC Lyovec;26,14378035;;;;;;;;;
;C05;FAM;Col1a1;Unkn;7d JAX 1µM control peptide + 100ng/ml polyIC Lyovec;25,55434899;;;;;;;;;
;C06;FAM;Tlr3;Unkn;7d JAX 1µM control peptide + 100ng/ml polyIC Lyovec;;;;;;;;;;
;C07;FAM;Ddx58/Rig-I;Unkn;7d JAX 1µM control peptide + 100ng/ml polyIC Lyovec;27,24343157;;;;;;;;;
;C08;FAM;Ifih-1/Mda5;Unkn;7d JAX 1µM control peptide + 100ng/ml polyIC Lyovec;27,07634538;;;;;;;;;
;C09;FAM;Bmp4;Unkn;7d JAX 1µM control peptide + 100ng/ml polyIC Lyovec;28,48834855;;;;;;;;;
;C10;FAM;Il1-�;Unkn;7d JAX 1µM control peptide + 100ng/ml polyIC Lyovec;;;;;;;;;;
;C11;FAM;Tbp;Unkn;NT;;;;;;;;;;
;D01;FAM;Hprt1;Unkn;7d JAX 1µM control peptide + 100ng/ml polyIC Lyovec;28,84065356;;;;;;;;;
;D02;FAM;Pum1;Unkn;7d JAX 1µM control peptide + 100ng/ml polyIC Lyovec;29,12987701;;;;;;;;;
;D03;FAM;Tbp;Unkn;7d JAX 1µM control peptide + 100ng/ml polyIC Lyovec;31,01205353;;;;;;;;;
;D04;FAM;Col3a1;Unkn;7d JAX 1µM control peptide + 100ng/ml polyIC Lyovec;26,25105272;;;;;;;;;
;D05;FAM;Col1a1;Unkn;7d JAX 1µM control peptide + 100ng/ml polyIC Lyovec;25,37710837;;;;;;;;;
