;Well;Fluor;Target;Content;Sample;Cq;SQ;
;A01;FAM;Hprt1;Unkn;#21.13;29,21465684;;
;A02;FAM;Pum1;Unkn;#21.13;29,93709141;;
;A03;FAM;Tbp;Unkn;#21.13;31,70089833;;
;A04;FAM;Il6;Unkn;#21.13;34,15373462;;
;A05;FAM;Il8;Unkn;#21.13;36,39864061;;
;A06;FAM;Runx2;Unkn;#21.13;30,05955618;;
;A07;FAM;Sparc;Unkn;#21.13;22,6594854;;
;A08;FAM;Spp1;Unkn;#21.13;19,50361648;;
;A09;FAM;Sp7;Unkn;#21.13;33,96314207;;
;A10;FAM;Bmp2;Unkn;#21.13;35,18089478;;
;A11;FAM;Hprt1;Unkn;NT;;;
;A12;FAM;Sp7;Unkn;NT;;;
;B01;FAM;Hprt1;Unkn;#21.13;29,35876956;;
;B02;FAM;Pum1;Unkn;#21.13;29,95822194;;
;B03;FAM;Tbp;Unkn;#21.13;32,05510109;;
;B04;FAM;Il6;Unkn;#21.13;34,54057448;;
;B05;FAM;Il8;Unkn;#21.13;37,46791367;;
;B06;FAM;Runx2;Unkn;#21.13;30,1242406;;
;B07;FAM;Sparc;Unkn;#21.13;22,75176727;;
;B08;FAM;Spp1;Unkn;#21.13;19,50037279;;
;B09;FAM;Sp7;Unkn;#21.13;33,20587814;;
;B10;FAM;Bmp2;Unkn;#21.13;34,56166123;;
;B11;FAM;Pum1;Unkn;NT;;;
;B12;FAM;Bmp2;Unkn;NT;;;
;C01;FAM;Hprt1;Unkn;#21.14;29,57424701;;
;C02;FAM;Pum1;Unkn;#21.14;29,80623626;;
;C03;FAM;Tbp;Unkn;#21.14;31,58554326;;
;C04;FAM;Il6;Unkn;#21.14;34,73696809;;
;C05;FAM;Il8;Unkn;#21.14;37,36735868;;
;C06;FAM;Runx2;Unkn;#21.14;29,42362264;;
;C07;FAM;Sparc;Unkn;#21.14;22,32757771;;
;C08;FAM;Spp1;Unkn;#21.14;20,01165848;;
;C09;FAM;Sp7;Unkn;#21.14;32,44297636;;
;C10;FAM;Bmp2;Unkn;#21.14;34,36348642;;
;C11;FAM;Tbp;Unkn;NT;;;
;D01;FAM;Hprt1;Unkn;#21.14;29,63059853;;
;D02;FAM;Pum1;Unkn;#21.14;29,76911426;;
;D03;FAM;Tbp;Unkn;#21.14;31,39461702;;
;D04;FAM;Il6;Unkn;#21.14;34,14284816;;
;D05;FAM;Il8;Unkn;#21.14;37,09727365;;
;D06;FAM;Runx2;Unkn;#21.14;29,42609181;;
;D07;FAM;Sparc;Unkn;#21.14;22,29208333;;
;D08;FAM;Spp1;Unkn;#21.14;19,87508144;;
;D09;FAM;Sp7;Unkn;#21.14;32,7899932;;
;D10;FAM;Bmp2;Unkn;#21.14;34,35323095;;
;D11;FAM;Il6;Unkn;NT;;;
;E01;FAM;Hprt1;Unkn;#21.15;29,26371205;;
;E02;FAM;Pum1;Unkn;#21.15;30,17151771;;
;E03;FAM;Tbp;Unkn;#21.15;31,50282975;;
;E04;FAM;Il6;Unkn;#21.15;33,82424875;;
;E05;FAM;Il8;Unkn;#21.15;35,91360328;;
;E06;FAM;Runx2;Unkn;#21.15;29,70661794;;
;E07;FAM;Sparc;Unkn;#21.15;22,1604691;;
;E08;FAM;Spp1;Unkn;#21.15;19,45798418;;
;E09;FAM;Sp7;Unkn;#21.15;33,27428974;;
;E10;FAM;Bmp2;Unkn;#21.15;33,66430903;;
;E11;FAM;Il8;Unkn;NT;;;
;F01;FAM;Hprt1;Unkn;#21.15;29,32470441;;
;F02;FAM;Pum1;Unkn;#21.15;30,1769201;;
;F03;FAM;Tbp;Unkn;#21.15;31,47077314;;
;F04;FAM;Il6;Unkn;#21.15;34,25754434;;
;F05;FAM;Il8;Unkn;#21.15;35,97878763;;
;F06;FAM;Runx2;Unkn;#21.15;29,84286432;;
;F07;FAM;Sparc;Unkn;#21.15;22,2404345;;
;F08;FAM;Spp1;Unkn;#21.15;19,58718975;;
;F09;FAM;Sp7;Unkn;#21.15;32,88996844;;
;F10;FAM;Bmp2;Unkn;#21.15;34,05206594;;
;F11;FAM;Runx2;Unkn;NT;;;
;G01;FAM;Hprt1;Unkn;#21.16;28,2863904;;
;G02;FAM;Pum1;Unkn;#21.16;29,90034321;;
;G03;FAM;Tbp;Unkn;#21.16;31,01243605;;
;G04;FAM;Il6;Unkn;#21.16;33,64787127;;
;G05;FAM;Il8;Unkn;#21.16;36,73412345;;
;G06;FAM;Runx2;Unkn;#21.16;29,46661582;;
;G07;FAM;Sparc;Unkn;#21.16;22,24473658;;
;G08;FAM;Spp1;Unkn;#21.16;18,48968884;;
;G09;FAM;Sp7;Unkn;#21.16;33,23607085;;
;G10;FAM;Bmp2;Unkn;#21.16;33,67044236;;
;G11;FAM;Sparc;Unkn;NT;39,02587232;;
;H01;FAM;Hprt1;Unkn;#21.16;28,41971127;;
;H02;FAM;Pum1;Unkn;#21.16;29,98496251;;
;H03;FAM;Tbp;Unkn;#21.16;31,09300584;;
;H04;FAM;Il6;Unkn;#21.16;35,28769083;;
;H05;FAM;Il8;Unkn;#21.16;36,20355914;;
;H06;FAM;Runx2;Unkn;#21.16;29,59860447;;
;H07;FAM;Sparc;Unkn;#21.16;22,33381616;;
;H08;FAM;Spp1;Unkn;#21.16;18,43823761;;
;H09;FAM;Sp7;Unkn;#21.16;33,1835703;;
;H10;FAM;Bmp2;Unkn;#21.16;33,78393985;;
;H11;FAM;Spp1;Unkn;NT;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
